id,title,artist,genre,danceability,energy,valence,acousticness,tempo
305,Ain't No Reason,Brett Dennen,acoustic,0.615,0.358,0.432,0.705,146.06
306,A Month from Now,Rail Yard Ghosts,acoustic,0.415,0.619,0.739,0.946,77.009
307,What If,Five For Fighting,acoustic,0.565,0.895,0.592,0.194,149.919
308,Pussy Cat,The Bridge City Sinners,acoustic,0.586,0.702,0.644,0.59,177.598
309,Polaroid Picture,Frank Turner,acoustic,0.564,0.604,0.341,0.0287,113.091
310,I Bet On Flying High,Matt Costa,acoustic,0.543,0.359,0.346,0.651,109.735
311,Mirrors - Acoustic,Jonah Baker,acoustic,0.638,0.287,0.445,0.81,128.025
312,To the Wonder (feat. Kina Grannis),Aqualung;Kina Grannis,acoustic,0.515,0.46,0.259,0.891,140.067
313,Stay - Acoustic,Jonah Baker,acoustic,0.622,0.221,0.297,0.901,131.827
314,太陽さん,Ichiko Aoba,acoustic,0.44,0.0353,0.362,0.99,181.988
315,Oh What A Love,Kina Grannis,acoustic,0.457,0.064,0.0647,0.941,147.824
316,Leave The Lights On,Meiko,acoustic,0.649,0.821,0.661,0.0302,121.938
317,I Won't Let You Down,Erin McCarley,acoustic,0.495,0.329,0.0919,0.652,72.992
318,Look For The Good (Single Version),Jason Mraz,acoustic,0.71,0.615,0.746,0.0384,90.263
319,Stargazing,Isabella Celander,acoustic,0.69,0.204,0.525,0.932,139.587
320,Bad Liar,Roses & Frey,acoustic,0.596,0.195,0.176,0.926,82.114
321,Is It You,Rachael Yamagata,acoustic,0.66,0.743,0.445,0.0329,130.025
322,Slow Down Time,Us The Duo,acoustic,0.733,0.657,0.433,0.013,109.954
323,2002 - Acoustic,Amber Leigh Irish,acoustic,0.589,0.296,0.611,0.842,165.799
324,Sweeter,Jess Penner,acoustic,0.686,0.377,0.551,0.638,92.042
325,Heat Waves - Acoustic,Daniel Robinson,acoustic,0.659,0.338,0.495,0.842,145.877
326,アジアの純真,Yosui Inoue;Tamio Okuda,acoustic,0.732,0.83,0.871,0.201,111.664
327,If the World Was Ending - Acoustic,Jonah Baker;Celine,acoustic,0.522,0.202,0.457,0.918,147.992
328,Comes And Goes (In Waves),Greg Laswell,acoustic,0.565,0.698,0.155,0.54,120.013
329,ながれ星,Masaharu Fukuyama,acoustic,0.474,0.408,0.238,0.603,143.881
330,Dusk Till Dawn - Acoustic,Blame Jones,acoustic,0.543,0.244,0.29,0.864,126.341
331,Don't Wanna Leave You,Ben Woodward,acoustic,0.672,0.644,0.549,0.795,148.135
332,Passenger Seat,Stephen Speaks,acoustic,0.515,0.769,0.644,0.0456,153.046
333,Love,Matt White,acoustic,0.759,0.684,0.759,0.269,107.948
334,Hallelujah,Boyce Avenue,acoustic,0.62,0.21,0.163,0.911,98.558
335,Ashes,Madi Diaz,acoustic,0.497,0.254,0.0676,0.891,110.864
336,明日の☆SHOW,Masaharu Fukuyama,acoustic,0.644,0.603,0.516,0.306,113.413
337,Love Me Like You Do,Boyce Avenue,acoustic,0.45,0.254,0.248,0.827,92.644
338,Lost Sparks,Canyon City,acoustic,0.548,0.3,0.264,0.757,135.902
339,Who We Are,Tristan Prettyman,acoustic,0.521,0.507,0.153,0.0162,108.168
340,Heart (Original Version),Masaharu Fukuyama,acoustic,0.587,0.842,0.693,0.278,97.013
341,It'll Be Alright,JJ Heller,acoustic,0.543,0.324,0.181,0.452,139.883
342,Everybody,Ingrid Michaelson,acoustic,0.742,0.636,0.48,0.446,95.002
343,Kabilugan Ng Buwan,Mark Oblea,acoustic,0.707,0.402,0.313,0.677,94.99
344,Keep Breathing,Ingrid Michaelson,acoustic,0.52,0.308,0.187,0.776,125.93
345,Fast Car,Boyce Avenue;Kina Grannis,acoustic,0.392,0.251,0.508,0.807,204.961
346,Just the Way You Are,Boyce Avenue,acoustic,0.531,0.296,0.212,0.84,106.359
347,The Ladder,Andrew Belle,acoustic,0.681,0.608,0.315,0.62,123.991
348,HELLO (Original Version),Masaharu Fukuyama,acoustic,0.569,0.861,0.511,0.0425,77.983
349,接吻,Hanare Gumi,acoustic,0.707,0.296,0.65,0.283,88.006
350,Can't Keep It Inside,Brett Dennen;Benedict Cumberbatch,acoustic,0.519,0.0646,0.395,0.982,121.696
351,明日天気になれ,Hanare Gumi,acoustic,0.608,0.705,0.621,0.078,111.204
352,IT'S ONLY LOVE,Masaharu Fukuyama,acoustic,0.585,0.734,0.413,0.0334,117.84
353,それがすべてさ,Masaharu Fukuyama,acoustic,0.527,0.89,0.425,0.00433,102.644
354,I Don't Wanna Love Somebody Else,A Great Big World,acoustic,0.495,0.22,0.345,0.847,126.618
355,Burn It All!,RENT STRIKE,acoustic,0.628,0.424,0.157,0.395,99.696
356,Carried Me With You,Brandi Carlile,acoustic,0.639,0.666,0.372,0.271,98.384
357,"O, Pennsyltucky!",Mischief Brew,acoustic,0.245,0.624,0.462,0.11,162.586
358,"I Believed You, William Blake",Frank Turner,acoustic,0.387,0.526,0.334,0.244,130.719
359,Pepperspray,Get Dead,acoustic,0.539,0.675,0.719,0.188,142.041
360,Stickup,Get Dead,acoustic,0.487,0.837,0.207,0.0133,160.025
361,Heaven - Acoustic,Grace George,acoustic,0.529,0.24,0.487,0.938,131.266
362,Soldier's Eyes,Jack Savoretti,acoustic,0.666,0.289,0.415,0.641,109.965
363,Asleep Among Endives,Ichiko Aoba,acoustic,0.451,0.0318,0.148,0.983,123.985
364,Symphony - Acoustic,Thomas Daniel,acoustic,0.359,0.208,0.105,0.943,83.155
365,When I Was Your Man,Boyce Avenue;Fifth Harmony,acoustic,0.403,0.237,0.163,0.906,144.174
366,Save Your Tears - Acoustic,Amber Leigh Irish,acoustic,0.693,0.111,0.247,0.937,110.813
367,Koi,Gen Hoshino,acoustic,0.598,0.819,0.878,0.00081,158.115
368,July Bones,Richard Walters,acoustic,0.596,0.27,0.155,0.785,100.006
369,Autumn Breeze,Kaiak;Viktoria Tolstoy,acoustic,0.589,0.334,0.208,0.832,80.036
370,Save Your Tears,Boyce Avenue,acoustic,0.735,0.275,0.294,0.746,116.004
371,You're Still The One - Acoustic,Bailey Rushlow,acoustic,0.605,0.168,0.398,0.887,119.836
372,Somebody Loved,Kina Grannis,acoustic,0.612,0.107,0.637,0.936,78.393
373,Rise,Boyce Avenue,acoustic,0.568,0.177,0.354,0.93,103.822
374,Bohemian Rhapsody - Acoustic,John Adams,acoustic,0.451,0.0665,0.349,0.967,64.289
375,As It Was - Acoustic,Amber Leigh Irish,acoustic,0.595,0.0477,0.513,0.923,118.162
376,Wish List,Canyon City,acoustic,0.307,0.11,0.32,0.733,201.008
377,Beautiful Disaster,Chord Overstreet,acoustic,0.3,0.27,0.214,0.9,144.589
378,Fake a smile,Wayne Mack,acoustic,0.731,0.191,0.274,0.735,149.91
379,Marigold,Aimyon,acoustic,0.545,0.745,0.413,0.0452,106.094
380,River Flows In You,Sungha Jung,acoustic,0.356,0.23,0.11,0.923,129.532
381,Kill Me Pretty,Tamio Okuda,acoustic,0.432,0.796,0.271,0.000153,141.868
382,No Matter Where You Are,Us The Duo,acoustic,0.693,0.664,0.436,0.0309,132.059
383,I Like You,Ben Rector,acoustic,0.624,0.334,0.397,0.321,157.92
384,The Mess I Made,Parachute,acoustic,0.423,0.572,0.17,0.0158,165.394
385,Dream a Little Dream of Me,Zee Avi,acoustic,0.555,0.0879,0.428,0.968,84.174
386,"Here, Right Now",Joshua Radin,acoustic,0.496,0.391,0.492,0.826,108.868
387,Wonderful Tonight,Boyce Avenue,acoustic,0.671,0.299,0.286,0.753,95.008
388,Salvation,Gabrielle Aplin,acoustic,0.379,0.267,0.229,0.605,135.198
389,Wilderness,Jon Bryant,acoustic,0.499,0.209,0.138,0.882,82.892
390,恋人 (Original Version),Masaharu Fukuyama,acoustic,0.649,0.336,0.47,0.27,71.967
391,I Just Called To Say I Love You,Bailey Pelkman;Randy Rektor,acoustic,0.746,0.257,0.348,0.772,132.032
392,Fall on Me,A Great Big World;Christina Aguilera,acoustic,0.393,0.268,0.225,0.697,110.456
393,Song To Sing When I'm Lonely,John Frusciante,acoustic,0.629,0.673,0.419,0.294,114.243
394,Have Yourself a Merry Little Christmas,Tres Hermanas,acoustic,0.452,0.268,0.265,0.961,66.805
395,Message (Original Version),Masaharu Fukuyama,acoustic,0.616,0.791,0.589,0.0599,126.764
396,Beautiful In White,Matt Johnson,acoustic,0.619,0.278,0.233,0.836,129.948
397,Heaven Is a Place on Earth,The Mayries,acoustic,0.634,0.176,0.335,0.931,107.974
398,Passenger Seat (Acoustic),Stephen Speaks,acoustic,0.549,0.437,0.688,0.682,153.604
399,Guaranteed - Humming Version,Eddie Vedder,acoustic,0.292,0.339,0.343,0.923,100.69
400,"Hang Me, Oh Hang Me",Dave Van Ronk,acoustic,0.504,0.0273,0.395,0.931,120.24
401,The Afterglow,John Frusciante;Josh Klinghoffer,acoustic,0.636,0.869,0.369,0.129,124.183
402,Eat the Meek,Frank Turner,acoustic,0.486,0.913,0.334,2.45e-05,136.073
403,The Trouble with Wanting,Joy Williams,acoustic,0.396,0.198,0.19,0.912,138.624
404,You Are the Best Thing,Ray LaMontagne,acoustic,0.578,0.727,0.885,0.0304,170.593
405,Boycott Me!,Mischief Brew,acoustic,0.684,0.509,0.69,0.571,132.297
406,To Risk to Live,Days N Daze;Freddie Boatright,acoustic,0.623,0.567,0.929,0.831,129.949
407,"The Legend of Olog-hai, Pt. 1",The Bridge City Sinners,acoustic,0.228,0.574,0.389,0.517,182.379
408,No Christmas For Me,Zee Avi,acoustic,0.809,0.313,0.35,0.876,114.955
409,This One's for Johnny,Get Dead,acoustic,0.482,0.772,0.586,0.0265,129.91
410,Graveyard - Acoustic,Highland Peak,acoustic,0.425,0.249,0.235,0.87,123.632
411,bouquet,Ichiko Aoba,acoustic,0.298,0.044,0.115,0.983,85.708
412,こころをこめて,Aoi Teshima,acoustic,0.468,0.254,0.242,0.938,135.862
413,Paradise,AcousticTrench,acoustic,0.507,0.191,0.221,0.99,132.131
414,Better,Parachute,acoustic,0.515,0.249,0.213,0.793,108.89
415,Laid,Matt Nathanson,acoustic,0.565,0.89,0.744,0.00537,119.862
416,Same For You,Lee DeWyze,acoustic,0.635,0.433,0.489,0.86,130.111
417,2U - Acoustic Version,Clementine Duo,acoustic,0.657,0.192,0.305,0.894,130.087
418,Duet,Rachael Yamagata,acoustic,0.459,0.14,0.146,0.895,128.904
419,I'll Say I Do,Brandon Chase,acoustic,0.391,0.31,0.295,0.614,83.46
420,Anyone,Bailey Jehl,acoustic,0.371,0.208,0.309,0.912,199.805
421,Start of Time,Gabrielle Aplin,acoustic,0.453,0.461,0.0844,0.165,106.84
422,Heat Waves,Bailey Jehl,acoustic,0.706,0.248,0.401,0.879,125.515
423,There She Goes,Clementine Duo,acoustic,0.724,0.28,0.527,0.755,106.966
424,Wells,Joshua Hyslop,acoustic,0.535,0.444,0.217,0.669,83.99
425,God Only Knows,Kina Grannis;Imaginary Future,acoustic,0.658,0.125,0.507,0.877,106.686
426,Afterglow,Andrew Foy;Renee Foy,acoustic,0.711,0.168,0.299,0.868,109.937
427,Burn The Rain,Kurt Cobain,acoustic,0.504,0.415,0.626,0.879,114.263
428,Already Mine,Us The Duo,acoustic,0.309,0.175,0.198,0.913,155.69
429,きみはぼくのともだち,Hanare Gumi,acoustic,0.628,0.027,0.203,0.944,122.007
430,Never Be the Same,Gabrielle Aplin,acoustic,0.49,0.674,0.288,0.19,122.807
431,All Is Well,Austin Basham,acoustic,0.316,0.413,0.245,0.856,155.69
432,My Mistake,Gabrielle Aplin,acoustic,0.47,0.271,0.0943,0.799,145.902
433,Near Or Far,Us The Duo,acoustic,0.515,0.317,0.512,0.816,79.91
434,Without a Light,Drew Holcomb & The Neighbors,acoustic,0.493,0.435,0.485,0.656,87.952
435,Lonely With Me,Parachute,acoustic,0.589,0.809,0.628,0.0479,87.013
436,Time After Time,Boyce Avenue;Megan Davies;Jaclyn Davies,acoustic,0.313,0.321,0.243,0.746,53.845
437,So Are You To Me,Eastmountainsouth,acoustic,0.302,0.0783,0.231,0.956,140.485
438,My Arms Were Always Around You,Peter Bradley Adams,acoustic,0.643,0.436,0.422,0.724,91.485
439,Dance Me to the End of Love - Bonus,The Civil Wars,acoustic,0.482,0.178,0.298,0.843,110.128
440,Photographs,Eddie Vedder,acoustic,0.539,0.353,0.321,0.571,54.571
441,Baby Now That I Found You,Suy Galvez,acoustic,0.707,0.531,0.49,0.855,107.994
442,Right Here Waiting,Suy Galvez,acoustic,0.707,0.467,0.478,0.832,110.096
443,Smokestack Lightnin',Howlin' Wolf,acoustic,0.661,0.342,0.588,0.844,146.118
444,Feels Like Rain (feat. Bonnie Raitt),Buddy Guy;Bonnie Raitt,acoustic,0.572,0.348,0.34,0.44,73.304
445,Sugar Babe,Mance Lipscomb,acoustic,0.554,0.4,0.547,0.979,101.191
446,Blister In The Sun,Violent Femmes,acoustic,0.726,0.537,0.882,0.316,96.889
447,"Little Blue Pills, Pt. 2",Days N Daze,acoustic,0.501,0.672,0.961,0.674,122.041
448,Paano Ang Simbang Gabi - Kung 'Di Ka Katabi,Drei Rana;Selena Marie,acoustic,0.505,0.462,0.113,0.623,139.914
449,Bob,Frank Turner,acoustic,0.415,0.713,0.361,0.0555,83.69
450,Psycho,Harley Poe,acoustic,0.458,0.823,0.422,0.382,131.638
451,Perfect Government,Frank Turner,acoustic,0.474,0.876,0.607,0.00277,91.948
452,The Fear,The Bridge City Sinners,acoustic,0.444,0.674,0.698,0.586,111.377
453,Living My Best Life,Ben Rector,acoustic,0.566,0.733,0.636,0.083,178.828
454,Haven't Been Doing So Well,Frank Turner,acoustic,0.367,0.892,0.799,0.00012,81.928
455,"The Legend of Olog-hai, Pt. 2",The Bridge City Sinners,acoustic,0.258,0.729,0.462,0.395,116.943
456,You and Me On The Rock (feat. Lucius),Brandi Carlile;Lucius,acoustic,0.568,0.686,0.725,0.15,172.075
457,Glitch,Get Dead,acoustic,0.571,0.696,0.662,0.14,155.133
458,A Thousand Years - Acoustic,Jonah Baker,acoustic,0.385,0.114,0.269,0.917,93.314
459,2 Oceans,Trevor Hall;Marieme,acoustic,0.588,0.569,0.209,0.303,101.988
460,Golden Hour - Acoustic Piano,Ben Woodward,acoustic,0.276,0.289,0.118,0.968,86.465
461,Without Me,Brandon Chase,acoustic,0.664,0.301,0.268,0.739,115.877
462,You & Me (The Wildfire),Aron Wright,acoustic,0.506,0.24,0.0621,0.854,130.96
463,Dancing With A Stranger,Sara Farell,acoustic,0.595,0.18,0.261,0.89,79.922
464,Pero,Zack Tabudlo,acoustic,0.644,0.412,0.206,0.796,118.49
465,Good 4 U (Acoustic),Jonah Baker,acoustic,0.607,0.178,0.422,0.737,127.956
466,And Then You,Greg Laswell,acoustic,0.63,0.342,0.552,0.817,77.515
467,Here With Me - Acoustic,Daniel Robinson,acoustic,0.689,0.299,0.52,0.833,96.825
468,I'll Be There For You (Friends Theme),Boyce Avenue,acoustic,0.473,0.305,0.524,0.833,81.153
469,So Far so Good,Gabrielle Aplin,acoustic,0.751,0.565,0.679,0.0777,119.996
470,More Than Gravity,Colin & Caroline,acoustic,0.62,0.468,0.217,0.715,110.969
471,Fade into You,Andrew Belle,acoustic,0.478,0.398,0.371,0.0222,159.906
472,東京にもあったんだ,Masaharu Fukuyama,acoustic,0.376,0.702,0.241,0.00373,134.817
473,あの夏も 海も 空も,Masaharu Fukuyama,acoustic,0.403,0.631,0.328,0.0502,78.522
474,21 Guns,Bailey Jehl,acoustic,0.44,0.119,0.279,0.927,145.186
475,Waves,Canyon City,acoustic,0.407,0.357,0.253,0.775,112.207
476,Running Up That Hill (A Deal With God) - Acoustic,Jonah Baker,acoustic,0.385,0.134,0.427,0.899,203.816
477,Poison's Gone,Kurt Cobain,acoustic,0.429,0.258,0.0897,0.868,108.796
478,18 ~eighteen~,Masaharu Fukuyama,acoustic,0.609,0.76,0.44,0.131,117.135
479,Build Me Up Buttercup,Kina Grannis,acoustic,0.721,0.0963,0.576,0.945,124.868
480,Umbrella - Acoustic Version,The Mayries,acoustic,0.675,0.278,0.353,0.845,123.962
481,Home,Gabrielle Aplin,acoustic,0.403,0.29,0.248,0.757,139.482
482,You're My Home,Joshua Radin,acoustic,0.627,0.518,0.337,0.436,95.991
483,vs.2013 ~知覚と快楽の螺旋~,Masaharu Fukuyama,acoustic,0.403,0.925,0.543,0.000435,169.978
484,I Like Me Better,Ysabelle Cuevas,acoustic,0.449,0.209,0.431,0.896,93.618
485,Something Stupid,Bailey Pelkman;Randy Rektor,acoustic,0.789,0.261,0.491,0.803,117.961
486,Hanap-Hanap,Ethan Loukas;Janine Teñoso,acoustic,0.663,0.239,0.488,0.827,83.102
487,The Will To Death,John Frusciante,acoustic,0.498,0.113,0.296,0.691,168.383
488,Boulevard of Broken Dreams (Acoustic),Adam Christopher,acoustic,0.586,0.149,0.341,0.881,75.121
489,Eloise,Penny and Sparrow,acoustic,0.606,0.415,0.405,0.695,137.775
490,Help Me,Sonny Boy Williamson II,acoustic,0.745,0.436,0.771,0.597,114.216
491,Everytime We Touch (Acoustic),Shannon & Keast,acoustic,0.526,0.139,0.203,0.879,100.852
492,Let It Be Me,Ray LaMontagne,acoustic,0.614,0.283,0.331,0.472,107.673
493,Beer,Mia Rollo,acoustic,0.473,0.493,0.54,0.84,169.998
494,Someone Like You,Boyce Avenue,acoustic,0.439,0.207,0.264,0.608,136.514
495,You've Got a Friend,Suy Galvez,acoustic,0.665,0.487,0.326,0.639,94.978
496,This Little Light of Mine,JJ Heller,acoustic,0.534,0.26,0.151,0.834,113.877
497,Amazing Grace,Takehara Pistol,acoustic,0.457,0.26,0.38,0.0594,106.756
498,Remnants of What People Used to Be,Days N Daze,acoustic,0.5,0.611,0.894,0.834,88.372
499,Linda Ronstadt,AJJ,acoustic,0.448,0.516,0.29,0.341,100.672
500,Unsteady - Acoustic Covers Versions of Popular Songs,SANNA NORTH,acoustic,0.699,0.343,0.383,0.506,114.021
501,Heart's Content,Brandi Carlile,acoustic,0.564,0.209,0.402,0.724,109.024
502,The Damned,The Bridge City Sinners,acoustic,0.404,0.577,0.637,0.605,112.215
503,Hot Knives,Pigeon Pit,acoustic,0.501,0.44,0.311,0.818,89.881
504,Nickel Plated,Get Dead,acoustic,0.461,0.893,0.4,0.00323,179.92
505,Peaches - Acoustic,Adam Christopher,acoustic,0.675,0.243,0.707,0.797,142.87
506,You,A Great Big World,acoustic,0.505,0.31,0.34,0.885,82.591
507,Swimmers,Andrew Belle,acoustic,0.547,0.599,0.0571,0.00396,120.054
508,Live Like We're Dying,Kris Allen,acoustic,0.589,0.893,0.94,0.0273,92.011
509,Somebody That I Used To Know,Lúc,acoustic,0.503,0.123,0.343,0.868,183.571
510,Lost Without You,Ben Woodward,acoustic,0.611,0.534,0.38,0.423,159.985
511,"One more time, One more chance",Masayoshi Yamazaki,acoustic,0.55,0.408,0.331,0.719,129.152
512,you broke me first,The Mayries,acoustic,0.656,0.3,0.369,0.87,120.006
513,Skylight,Gabrielle Aplin,acoustic,0.524,0.566,0.362,0.0411,159.914
514,Game of Thrones,Edy Hafler,acoustic,0.34,0.309,0.153,0.855,176.899
515,Nothing Like You and I,The Perishers,acoustic,0.598,0.291,0.38,0.466,123.978
516,Wanted Man,Mat Kearney,acoustic,0.514,0.319,0.677,0.805,203.651
517,Back To You,The Mayries,acoustic,0.448,0.256,0.174,0.875,77.272
518,何度でも花が咲くように私を生きよう,Masaharu Fukuyama,acoustic,0.441,0.423,0.153,0.839,88.865
519,Scared to Be Lonely,Boyce Avenue,acoustic,0.636,0.169,0.467,0.887,138.236
520,Sappy - Early Demo,Kurt Cobain,acoustic,0.445,0.289,0.172,0.437,104.006
521,Ancient Light,Allman Brown,acoustic,0.435,0.208,0.189,0.647,69.027
522,I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic Version,Sara Farell;Simon Samaeng,acoustic,0.656,0.349,0.289,0.784,118.026
523,Before You Go,Andrew Foy;Renee Foy,acoustic,0.609,0.0866,0.411,0.912,167.892
524,Ships In The Night,Mat Kearney,acoustic,0.448,0.885,0.134,0.111,178.151
525,Only You,Joshua Radin,acoustic,0.545,0.255,0.831,0.362,98.088
526,Waver,Sakura Fujiwara,acoustic,0.626,0.682,0.636,0.277,75.02
527,Missing Peace,JJ Heller,acoustic,0.572,0.317,0.38,0.705,78.009
528,聖域,Masaharu Fukuyama,acoustic,0.368,0.871,0.636,0.0356,107.721
529,Firework,Canyon City,acoustic,0.51,0.32,0.425,0.823,92.385
530,Such A Simple Thing - Recorded at Sound Stage Studios Nashville,Ray LaMontagne,acoustic,0.55,0.334,0.143,0.517,72.235
531,"Sad Theme (From ""One Punch Man"")",Eddie van der Meer,acoustic,0.487,0.162,0.49,0.933,82.33
532,Don't Know What I Want,Gabrielle Aplin,acoustic,0.309,0.349,0.192,0.828,180.075
533,Call Me,Gabrielle Aplin,acoustic,0.38,0.468,0.303,0.243,143.504
534,True,Suy Galvez,acoustic,0.716,0.525,0.423,0.647,96.993
535,I Can't Make You Love Me,Boyce Avenue;Rachel Grae,acoustic,0.407,0.222,0.204,0.853,123.618
536,Say Anything,Tristan Prettyman,acoustic,0.657,0.43,0.335,0.534,91.967
537,All We Are,Matt Nathanson,acoustic,0.534,0.492,0.328,0.584,82.465
538,Gentle Heart,Joshua Hyslop,acoustic,0.603,0.374,0.542,0.256,135.946
539,All My Loving (Original Version),Masaharu Fukuyama,acoustic,0.725,0.746,0.656,0.00721,102.87
540,アンダルシアに憧れて,Masayoshi Yamazaki,acoustic,0.448,0.755,0.575,0.028,156.045
541,想 -new love new world-,Masaharu Fukuyama,acoustic,0.595,0.879,0.839,0.0319,124.784
542,Last Christmas,Drei Rana,acoustic,0.686,0.285,0.672,0.689,103.995
543,Green Mountain State,Trevor Hall,acoustic,0.693,0.367,0.286,0.351,129.879
544,Di Papakawalan,Maris Racal,acoustic,0.71,0.402,0.136,0.873,106.024
545,Can't Go Back Now,The Weepies;Deb Talan;Steve Tannen,acoustic,0.691,0.552,0.685,0.497,119.931
546,ウイスキーが、お好きでしょ,Hanare Gumi,acoustic,0.642,0.237,0.694,0.724,137.4
547,Ditches,Days N Daze,acoustic,0.48,0.77,0.744,0.397,126.225
548,Outside Villanova,Eric Hutchinson,acoustic,0.785,0.732,0.798,0.059,137.946
549,Timeline,Apes of the State,acoustic,0.668,0.304,0.567,0.811,112.338
550,I'll Never Fall in Love Again,Gail Blanco,acoustic,0.758,0.406,0.383,0.901,109.984
551,Stray Cat Strut,The Bridge City Sinners,acoustic,0.49,0.749,0.739,0.389,144.87
552,Goodbye Lulu Pt.2,Days N Daze,acoustic,0.389,0.864,0.548,0.0362,98.11
553,Days n Daze of Our Lives,Days N Daze,acoustic,0.387,0.524,0.858,0.777,95.623
554,8 Track,Get Dead,acoustic,0.408,0.974,0.578,8.77e-05,197.008
555,Ghost - Acoustic,Jonah Baker,acoustic,0.486,0.0745,0.396,0.922,145.912
556,4am,Eden Elf;Ren Avel,acoustic,0.638,0.329,0.475,0.979,94.125
557,"10,000 Hours - Acoustic",Adam Christopher;Dan Berk,acoustic,0.522,0.382,0.519,0.389,169.861
558,Yellow - Acoustic,Amber Leigh Irish,acoustic,0.49,0.204,0.373,0.901,167.573
559,No Air,Lúc,acoustic,0.674,0.116,0.21,0.862,129.976
560,Self Help,Anna Hamilton,acoustic,0.778,0.445,0.502,0.45,130.01
561,Blackbird Song,Lee DeWyze,acoustic,0.259,0.195,0.183,0.264,146.011
562,Easy On Me - Acoustic,Jonah Baker,acoustic,0.408,0.095,0.357,0.948,137.546
563,Chasing Cars - Acoustic,Bailey Rushlow,acoustic,0.663,0.26,0.243,0.865,107.931
564,Can't Take My Eyes Off of You,Emilie Mover,acoustic,0.625,0.818,0.307,0.0516,123.905
565,Fortune - Acoustic,William Fitzsimmons,acoustic,0.529,0.0546,0.517,0.924,78.451
566,Lot To Learn,Vivid Color,acoustic,0.57,0.468,0.335,0.758,137.855
567,Apologize,Bailey Jehl,acoustic,0.566,0.168,0.238,0.812,116.286
568,First & Last,Zack Tabudlo,acoustic,0.598,0.249,0.292,0.194,113.829
569,"Cold, Cold Feeling",Albert Collins,acoustic,0.713,0.281,0.397,0.137,148.301
570,Sweet Love,Phillip LaRue,acoustic,0.547,0.328,0.186,0.163,139.959
571,Shotgun,Us The Duo,acoustic,0.806,0.263,0.868,0.787,115.854
572,HEY!,Masaharu Fukuyama,acoustic,0.548,0.889,0.789,0.0324,95.289
573,Trouble Sleeping,The Perishers,acoustic,0.428,0.813,0.347,0.0622,91.053
574,Beautiful Disaster,Jon McLaughlin,acoustic,0.432,0.664,0.294,0.215,156.216
575,Breathe Again,Sara Bareilles,acoustic,0.366,0.482,0.278,0.288,169.677
576,Trouble,Ray LaMontagne,acoustic,0.325,0.424,0.494,0.341,173.352
577,Memories,Boyce Avenue,acoustic,0.46,0.195,0.384,0.867,176.119
578,Sink Or Swim,Tyrone Wells,acoustic,0.613,0.812,0.394,0.259,119.979
579,Tama Na,EJ De Perio,acoustic,0.492,0.33,0.109,0.266,132.005
580,"He's A Pirate (From ""Pirates of the Caribbean"")",Beyond The Guitar,acoustic,0.57,0.454,0.381,0.881,101.476
581,能古島の片想い - Remastered 2018,Yosui Inoue,acoustic,0.494,0.465,0.275,0.705,132.501
582,Bitter Heart,Zee Avi,acoustic,0.74,0.377,0.408,0.65,78.988
583,I Want to Know What Love Is - Acoustic,Hannah's Yard,acoustic,0.49,0.263,0.361,0.92,73.834
584,ハンキーパンキー,Hanare Gumi,acoustic,0.465,0.211,0.256,0.812,83.257
585,Ordinary Days,JJ Heller,acoustic,0.477,0.34,0.261,0.849,173.86
586,Moon River,JJ Heller,acoustic,0.411,0.191,0.155,0.916,74.92
587,Forever Like That,Ben Rector,acoustic,0.592,0.304,0.307,0.564,114.72
588,Neighbor,JJ Heller,acoustic,0.439,0.292,0.153,0.744,82.222
589,一等賞,Takehara Pistol,acoustic,0.659,0.83,0.937,0.588,127.014
590,音タイム,Hanare Gumi,acoustic,0.373,0.716,0.374,0.082,134.764
591,The Joke,Brandi Carlile,acoustic,0.236,0.578,0.227,0.327,75.367
592,Toulumne,Eddie Vedder,acoustic,0.337,0.287,0.393,0.898,107.031
593,Just The Two Of Us - Acoustic,Vendredi;Son&Dad,acoustic,0.462,0.424,0.564,0.883,97.675
594,Arrythmic Palpitations,Chris Cresswell,acoustic,0.51,0.485,0.451,0.612,154.97
595,The Boat,Chuck Ragan,acoustic,0.56,0.755,0.491,0.286,147.138
596,Born Under A Bad Sign - Mono Mix,Albert King,acoustic,0.711,0.483,0.884,0.434,91.652
597,Nobody Knows Me At All,The Weepies;Deb Talan;Steve Tannen,acoustic,0.759,0.159,0.329,0.957,115.945
598,Bitter Morning Taste,Tim Vantol,acoustic,0.38,0.396,0.192,0.202,103.621
599,DBS Out,Days N Daze,acoustic,0.598,0.599,0.94,0.326,90.206
600,Crazy - (Acoustic Mix),Vendredi;Son&Dad,acoustic,0.651,0.425,0.302,0.879,104.819
601,Dungeon Song,The Bridge City Sinners,acoustic,0.306,0.948,0.903,0.64,135.76
602,Can I Sleep On Your Floor??,Chad Hates George,acoustic,0.469,0.457,0.893,0.692,84.064
603,Josephine,Frank Turner,acoustic,0.442,0.898,0.446,0.000158,144.299
604,いきのこり●ぼくら,Ichiko Aoba,acoustic,0.592,0.0833,0.205,0.946,143.243
605,Careless Whisper,Boyce Avenue,acoustic,0.698,0.389,0.704,0.885,76.897
606,Look After You,Aron Wright,acoustic,0.396,0.293,0.199,0.732,145.556
607,Perfect,Acoustic Guitar Collective,acoustic,0.559,0.118,0.289,0.979,97.1
608,When the Party's Over,Kina Grannis,acoustic,0.52,0.171,0.23,0.853,123.565
